id,class_code,class_name,ddd,u,adm_r,note,valid_start_date,valid_end_date,change_type
1028,A01AB19,sodium perborate,,,,,1970-01-01,2099-12-31,
1029,A01AB21,chlortetracycline,,,,,1970-01-01,2099-12-31,
1030,A01AB22,doxycycline,,,,,1970-01-01,2099-12-31,
1031,A01AB23,minocycline,1,mg,O,,1970-01-01,2099-12-31,
1032,A01AC,Corticosteroids for local oral treatment,,,O,,1970-01-01,2099-12-31,
1033,A01AC01,triamcinolone,,,,,1970-01-01,2099-12-31,
1034,A01AC02,dexamethasone,,,,,1970-01-01,2099-12-31,
1035,A01AC03,hydrocortisone,,,,,1970-01-01,2099-12-31,
1036,A01AC54,"prednisolone, combinations",,,,,1970-01-01,2099-12-31,
1037,A01AD,Other agents for local oral treatment,,,O,,1970-01-01,2099-12-31,
1038,A01AD01,epinephrine,,,,,1970-01-01,2099-12-31,
1039,A01AD02,benzydamine,,,,,1970-01-01,2099-12-31,A
1040,A01AD05,acetylsalicylic acid,,,,,1970-01-01,2099-12-31,
1041,A01AD06,adrenalone,,,,,1970-01-01,2099-12-31,
1042,A01AD07,amlexanox,,,,,1970-01-01,2099-12-31,
1043,A01AD08,becaplermin,,,,,1970-01-01,2099-12-31,
1044,A01AD11,"other agents for local oral treatment, various",,,,,1970-01-01,2099-12-31,
1045,A02,DRUGS FOR ACID RELATED DISORDERS,,,,,1970-01-01,2099-12-31,
1046,A02A,ANTACIDS,,,,,1970-01-01,2099-12-31,
1047,A02AA,Magnesium compounds,,,,,1970-01-01,2099-12-31,
1048,A02AA01,magnesium carbonate,,,,,1970-01-01,2099-12-31,
1049,A02AA02,magnesium oxide,,,,,1970-01-01,2099-12-31,
1050,A02AA03,magnesium peroxide,,,,,1970-01-01,2099-12-31,
1051,A02AA04,magnesium hydroxide,3,g,O,,1970-01-01,2099-12-31,
1052,A02AA05,magnesium silicate,,,,,1970-01-01,2099-12-31,
1053,A02AA10,"magnesium compounds, combinations",,,,,1970-01-01,2099-12-31,
1054,A02AB,Aluminium compounds,,,,,1970-01-01,2099-12-31,
1055,A02AB01,aluminium hydroxide,,,,,1970-01-01,2099-12-31,
1056,A02AB02,algeldrate,5,g,O,,1970-01-01,2099-12-31,
1057,A02AB03,aluminium phosphate,,,,,1970-01-01,2099-12-31,
1058,A02AB04,dihydroxialumini sodium carbonate,4,g,O,,1970-01-01,2099-12-31,
1059,A02AB05,aluminium acetoacetate,,,,,1970-01-01,2099-12-31,
1060,A02AB06,aloglutamol,,,,,1970-01-01,2099-12-31,
1061,A02AB07,aluminium glycinate,,,,,1970-01-01,2099-12-31,
1062,A02AB10,"aluminium compounds, combinations",,,,,1970-01-01,2099-12-31,
1063,A02AC,Calcium compounds,,,,,1970-01-01,2099-12-31,
1064,A02AC01,calcium carbonate,,,,,1970-01-01,2099-12-31,
1065,A02AC02,calcium silicate,6,g,O,,1970-01-01,2099-12-31,
1066,A02AC10,"calcium compounds, combinations",,,,,1970-01-01,2099-12-31,
1067,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",,,,,1970-01-01,2099-12-31,
1068,A02AD01,ordinary salt combinations,,,,Standard dose: 10 tablets or 50 ml mixt,1970-01-01,2099-12-31,
1069,A02AD02,magaldrate,,,,,1970-01-01,2099-12-31,
1070,A02AD03,almagate,,,,,1970-01-01,2099-12-31,
1071,A02AD04,hydrotalcite,,,,,1970-01-01,2099-12-31,
1072,A02AD05,almasilate,,,,,1970-01-01,2099-12-31,
1073,A02AF,Antacids with antiflatulents,,,,,1970-01-01,2099-12-31,
1074,A02AF01,magaldrate and antiflatulents,,,,,1970-01-01,2099-12-31,
1075,A02AF02,ordinary salt combinations and antiflatulents,,,,,1970-01-01,2099-12-31,
1076,A02AG,Antacids with antispasmodics,,,,,1970-01-01,2099-12-31,
1077,A02AH,Antacids with sodium bicarbonate,,,,,1970-01-01,2099-12-31,
1078,A02AX,"Antacids, other combinations",,,,,1970-01-01,2099-12-31,
1079,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),,,,,1970-01-01,2099-12-31,
1080,A02BA,H,,,,,1970-01-01,2099-12-31,
1081,A02BA01,cimetidine,0.8,g,O,,1970-01-01,2099-12-31,
1082,A02BA01,cimetidine,0.8,g,P,,1970-01-01,2099-12-31,
1083,A02BA02,ranitidine,0.3,g,O,,1970-01-01,2099-12-31,
1084,A02BA02,ranitidine,0.3,g,P,,1970-01-01,2099-12-31,
1085,A02BA03,famotidine,40,mg,O,,1970-01-01,2099-12-31,
1086,A02BA03,famotidine,40,mg,P,,1970-01-01,2099-12-31,
1087,A02BA04,nizatidine,0.3,g,O,,1970-01-01,2099-12-31,
1088,A02BA04,nizatidine,0.3,g,P,,1970-01-01,2099-12-31,
1089,A02BA05,niperotidine,,,,,1970-01-01,2099-12-31,
1090,A02BA06,roxatidine,0.15,g,O,,1970-01-01,2099-12-31,
1091,A02BA07,ranitidine bismuth citrate,0.8,g,O,,1970-01-01,2099-12-31,
1092,A02BA08,lafutidine,20,mg,O,,1970-01-01,2099-12-31,
1093,A02BA51,"cimetidine, combinations",,,,,1970-01-01,2099-12-31,
1094,A02BA53,"famotidine, combinations",,,,,1970-01-01,2099-12-31,
1095,A02BB,Prostaglandins,,,,,1970-01-01,2099-12-31,
1096,A02BB01,misoprostol,0.8,mg,O,,1970-01-01,2099-12-31,
1097,A02BB02,enprostil,70,mcg,O,,1970-01-01,2099-12-31,
1098,A02BC,Prostaglandins,,,,,1970-01-01,2099-12-31,
1099,A02BC01,omeprazole,20,mg,O,,1970-01-01,2099-12-31,
1100,A02BC01,omeprazole,20,mg,P,,1970-01-01,2099-12-31,
1101,A02BC02,pantoprazole,40,mg,O,,1970-01-01,2099-12-31,
1102,A02BC02,pantoprazole,40,mg,P,,1970-01-01,2099-12-31,
1103,A02BC03,lansoprazole,30,mg,O,,1970-01-01,2099-12-31,
1104,A02BC04,rabeprazole,20,mg,O,,1970-01-01,2099-12-31,
1105,A02BC05,esomeprazole,20,mg,O,DDD from ATC website|,1970-01-01,2005-01-01,C
1106,A02BC05,esomeprazole,30,mg,O,,2005-01-01,2099-12-31,
1107,A02BC05,esomeprazole,30,mg,P,,2005-01-01,2099-12-31,
1108,A02BC06,dexlansoprazole,30,mg,O,,1970-01-01,2099-12-31,
1109,A02BC07,dexrabeprazole,,,,,2015-03-02,2099-12-31,
1110,A02BC08,vonoprazan,,,,,2020-05-04,2099-12-31,
1111,A02BC09,tegoprazan,,,,,2021-02-22,2099-12-31,
1112,A02BC53,"lansoprazole, combinations",,,,,2015-03-02,2099-12-31,
1113,A02BC54,"rabeprazole, combinations",,,,,2015-03-02,2099-12-31,
1114,A02BD,Proton pump inhibitors,,,,,1970-01-01,2099-12-31,
1115,A02BD01,"omeprazole, amoxicillin and metronidazole",,,,,1970-01-01,2099-12-31,
1116,A02BD02,"lansoprazole, tetracycline and metronidazole",,,,,1970-01-01,2099-12-31,
1117,A02BD03,"lansoprazole, amoxicillin and metronidazole",,,,,1970-01-01,2099-12-31,
1118,A02BD04,"pantoprazole, amoxicillin and clarithromycin",,,,,1970-01-01,2099-12-31,
1119,A02BD05,"omeprazole, amoxicillin and clarithromycin",,,,,1970-01-01,2099-12-31,
1120,A02BD06,"esomeprazole, amoxicillin and clarithromycin",,,,,1970-01-01,2099-12-31,
1121,A02BD07,"lansoprazole, amoxicillin and clarithromycin",,,,,1970-01-01,2099-12-31,
1122,A02BD08,"bismuth subcitrate, tetracycline and metronidazole",,,,,1970-01-01,2099-12-31,
1123,A02BD09,"lansoprazole, clarithromycin and tinidazole",,,,,2015-03-02,2099-12-31,
1124,A02BD10,"lansoprazole, amoxicillin and levofloxacin",,,,,2015-03-02,2099-12-31,
1125,A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole",,,,,2016-05-02,2099-12-31,
1126,A02BD12,"rabeprazole, amoxicillin and clarithromycin",,,,,2020-05-04,2099-12-31,
1127,A02BD13,"rabeprazole, amoxicillin and metronidazole",,,,,2020-05-04,2099-12-31,
1128,A02BD14,"vonoprazan, amoxicillin and clarithromycin",,,,,2020-05-04,2099-12-31,
1129,A02BD15,"vonoprazan, amoxicillin and metronidazole",,,,,2020-05-04,2099-12-31,
1130,A02BX,Combinations for eradication of helicobacter pylori,,,,,1970-01-01,2099-12-31,
1131,A02BX01,carbenoxolone,0.15,g,O,,1970-01-01,2099-12-31,
1132,A02BX02,sucralfate,4,g,O,,1970-01-01,2099-12-31,
1133,A02BX03,pirenzepine,0.1,g,O,,1970-01-01,2099-12-31,
1134,A02BX03,pirenzepine,20,mg,P,,1970-01-01,2099-12-31,
1135,A02BX04,methiosulfonium chloride,,,,,1970-01-01,2099-12-31,
1136,A02BX05,bismuth subcitrate,0.48,g,O,,1970-01-01,2099-12-31,
1137,A02BX06,proglumide,1.2,g,O,,1970-01-01,2099-12-31,
1138,A02BX07,gefarnate,,,,,1970-01-01,2099-12-31,
1139,A02BX08,sulglicotide,,,,,1970-01-01,2099-12-31,
1140,A02BX09,acetoxolone,,,,,1970-01-01,2099-12-31,
1141,A02BX10,zolimidine,,,,,1970-01-01,2099-12-31,
1142,A02BX11,troxipide,,,,,1970-01-01,2099-12-31,
1143,A02BX12,bismuth subnitrate,,,,,1970-01-01,2099-12-31,
1144,A02BX13,alginic acid,,,,,1970-01-01,2099-12-31,
1145,A02BX14,rebamipide,0.3,g,O,,2018-02-05,2099-12-31,
1146,A02BX51,"carbenoxolone, combinations excl. psycholeptics",,,,,1970-01-01,2099-12-31,
1147,A02BX71,"carbenoxolone, combinations with psycholeptics",,,,,1970-01-01,2099-12-31,
1148,A02BX77,"gefarnate, combinations with psycholeptics",,,,,1970-01-01,2099-12-31,
1149,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS,,,,,1970-01-01,2099-12-31,
1150,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,,,,,1970-01-01,2099-12-31,
1151,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,,,,,1970-01-01,2099-12-31,
1152,A03AA,"Synthetic anticholinergics, esters with tertiary amino group",,,,,1970-01-01,2099-12-31,
1153,A03AA01,oxyphencyclimine,20,mg,O,,1970-01-01,2099-12-31,
1154,A03AA03,camylofin,0.2,g,O,,1970-01-01,2099-12-31,
1155,A03AA03,camylofin,0.2,g,R,,1970-01-01,2099-12-31,
1156,A03AA04,mebeverine,0.3,g,O,,1970-01-01,2099-12-31,
1157,A03AA05,trimebutine,0.6,g,O,,1970-01-01,2099-12-31,
1158,A03AA06,rociverine,,,,,1970-01-01,2099-12-31,
1159,A03AA07,dicycloverine,80,mg,O,,1970-01-01,2099-12-31,
1160,A03AA07,dicycloverine,80,mg,P,,1970-01-01,2099-12-31,
1161,A03AA08,dihexyverine,,,,,1970-01-01,2099-12-31,
1162,A03AA09,difemerine,,,,,1970-01-01,2099-12-31,
1163,A03AA30,piperidolate,,,,,1970-01-01,2099-12-31,
1164,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",,,,,1970-01-01,2099-12-31,
1165,A03AB01,benzilone,70,mg,O,,1970-01-01,2099-12-31,
1166,A03AB02,glycopyrronium bromide,3,mg,O,,2018-01-01,2099-12-31,
1167,A03AB02,glycopyrronium bromide,0.3,mg,P,,2018-01-01,2099-12-31,
1168,A03AB02,glycopyrronium bromide,3,mg,P,DDD from ATC website|,1970-01-01,2018-01-01,C
1169,A03AB02,glycopyrronium bromide,3,mg,R,,2018-01-01,2099-12-31,
1170,A03AB03,oxyphenonium,25,mg,O,,1970-01-01,2099-12-31,
1171,A03AB04,penthienate,15,mg,O,,1970-01-01,2099-12-31,
1172,A03AB05,propantheline,60,mg,O,,1970-01-01,2099-12-31,
1173,A03AB05,propantheline,60,mg,P,,1970-01-01,2099-12-31,
1174,A03AB06,otilonium bromide,,,,,1970-01-01,2099-12-31,
1175,A03AB07,methantheline,0.15,g,O,,1970-01-01,2099-12-31,
1176,A03AB08,tridihexethyl,0.125,g,O,,1970-01-01,2099-12-31,
1177,A03AB09,isopropamide,10,mg,O,,1970-01-01,2099-12-31,
1178,A03AB10,hexocyclium,0.15,g,O,,1970-01-01,2099-12-31,
1179,A03AB11,poldine,12,mg,O,,1970-01-01,2099-12-31,
1180,A03AB12,mepenzolate,0.1,g,O,,1970-01-01,2099-12-31,
1181,A03AB13,bevonium,0.2,g,O,,1970-01-01,2099-12-31,
1182,A03AB14,pipenzolate,20,mg,O,,1970-01-01,2099-12-31,
1183,A03AB15,diphemanil,,,,,1970-01-01,2099-12-31,
1184,A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,0.3,g,O,,1970-01-01,2099-12-31,
1185,A03AB17,tiemonium iodide,,,,,1970-01-01,2099-12-31,
1186,A03AB18,prifinium bromide,,,,,1970-01-01,2099-12-31,
1187,A03AB19,timepidium bromide,,,,,1970-01-01,2099-12-31,
1188,A03AB21,fenpiverinium,,,,,1970-01-01,2099-12-31,
1189,A03AB53,"oxyphenonium, combinations",,,,,1970-01-01,2099-12-31,
1190,A03AC,"Synthetic antispasmodics, amides with tertiary amines",,,,,1970-01-01,2099-12-31,
1191,A03AC02,dimethylaminopropionylphenothiazine,,,,,1970-01-01,2099-12-31,
1192,A03AC04,nicofetamide,,,,,1970-01-01,2099-12-31,
1193,A03AC05,tiropramide,,,,,1970-01-01,2099-12-31,
1194,A03AD,Papaverine and derivatives,,,,,1970-01-01,2099-12-31,
1195,A03AD01,papaverine,0.1,g,O,,1970-01-01,2099-12-31,
1196,A03AD01,papaverine,0.1,g,P,,1970-01-01,2099-12-31,
1197,A03AD02,drotaverine,0.1,g,O,,1970-01-01,2099-12-31,
1198,A03AD02,drotaverine,0.1,g,P,,1970-01-01,2099-12-31,
1199,A03AD30,moxaverine,50,mg,O,,1970-01-01,2099-12-31,
1200,A03AE,Serotonin receptor antagonists,,,,,1970-01-01,2099-12-31,
1201,A03AE01,alosetron,1,mg,O,,2005-01-01,2099-12-31,
1202,A03AE01,alosetron,2,mg,O,DDD from ATC website|,1970-01-01,2005-01-01,C
1203,A03AE02,tegaserod,,,,from ATC website|,1970-01-01,2013-12-31,U
1204,A03AE03,cilansetron,,,,,1970-01-01,2099-12-31,
1205,A03AE04,prucalopride,,,,from ATC website|,1970-01-01,2013-12-31,U
1206,A03AX,Other drugs for functional gastrointestinal disorders,,,,,1970-01-01,2099-12-31,
1207,A03AX01,fenpiprane,,,,,1970-01-01,2099-12-31,
1208,A03AX02,diisopromine,,,,,1970-01-01,2099-12-31,
1209,A03AX03,chlorbenzoxamine,0.15,g,O,,1970-01-01,2099-12-31,
1210,A03AX04,pinaverium,0.15,g,O,,1970-01-01,2099-12-31,
1211,A03AX05,fenoverine,,,,,1970-01-01,2099-12-31,
1212,A03AX06,idanpramine,,,,,1970-01-01,2099-12-31,
1213,A03AX07,proxazole,,,,,1970-01-01,2099-12-31,
1214,A03AX08,alverine,,,,,1970-01-01,2099-12-31,
1215,A03AX09,trepibutone,,,,,1970-01-01,2099-12-31,
1216,A03AX10,isometheptene,,,,,1970-01-01,2099-12-31,
1217,A03AX11,caroverine,,,,,1970-01-01,2099-12-31,
1218,A03AX12,phloroglucinol,,,,,1970-01-01,2099-12-31,
1219,A03AX13,silicones,0.5,g,O,,1970-01-01,2099-12-31,
1220,A03AX14,valethamate,,,,,2015-03-02,2099-12-31,
1221,A03AX15,menthae piperitae aetheroleum,,,,,2021-02-22,2099-12-31,
1222,A03AX30,trimethyldiphenylpropylamine,50,mg,O,,1970-01-01,2099-12-31,
1223,A03AX30,trimethyldiphenylpropylamine,50,mg,P,,1970-01-01,2099-12-31,
1224,A03AX58,"alverine, combinations",,,,,1970-01-01,2099-12-31,
1225,A03B,"BELLADONNA AND DERIVATIVES, PLAIN",,,,,1970-01-01,2099-12-31,
1226,A03BA,"Belladonna alkaloids, tertiary amines",,,,,1970-01-01,2099-12-31,
1227,A03BA01,atropine,1.5,mg,O,,1970-01-01,2099-12-31,
1228,A03BA01,atropine,1.5,mg,P,,1970-01-01,2099-12-31,
1229,A03BA03,hyoscyamine,1.2,mg,O,,1970-01-01,2099-12-31,
1230,A03BA04,belladonna total alkaloids,1,mg,O,,1970-01-01,2099-12-31,
1231,A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",,,,,1970-01-01,2099-12-31,
1232,A03BB01,butylscopolamine,60,mg,O,,1970-01-01,2099-12-31,
1233,A03BB01,butylscopolamine,60,mg,P,,1970-01-01,2099-12-31,
1234,A03BB01,butylscopolamine,60,mg,R,,1970-01-01,2099-12-31,
1235,A03BB02,methylatropine,3,mg,O,,1970-01-01,2099-12-31,
1236,A03BB03,methylscopolamine,12,mg,O,,1970-01-01,2099-12-31,
1237,A03BB03,methylscopolamine,12,mg,P,,1970-01-01,2099-12-31,
1238,A03BB04,fentonium,60,mg,O,,1970-01-01,2099-12-31,
1239,A03BB05,cimetropium bromide,,,,,1970-01-01,2099-12-31,
1240,A03BB06,homatropine methylbromide,,,,,2020-05-04,2099-12-31,
1241,A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,,,,,1970-01-01,2099-12-31,
1242,A03CA,Synthetic anticholinergic agents in combination with psycholeptics,,,,,1970-01-01,2099-12-31,
1243,A03CA01,isopropamide and psycholeptics,,,,,1970-01-01,2099-12-31,
1244,A03CA02,clidinium and psycholeptics,,,,,1970-01-01,2099-12-31,
1245,A03CA03,oxyphencyclimine and psycholeptics,,,,,1970-01-01,2099-12-31,
1246,A03CA04,otilonium bromide and psycholeptics,,,,,1970-01-01,2099-12-31,
1247,A03CA05,glycopyrronium bromide and psycholeptics,,,,,1970-01-01,2099-12-31,
1248,A03CA06,bevonium and psycholeptics,,,,,1970-01-01,2099-12-31,
1249,A03CA07,ambutonium and psycholeptics,,,,,1970-01-01,2099-12-31,
1250,A03CA08,diphemanil and psycholeptics,,,,,1970-01-01,2099-12-31,
1251,A03CA09,pipenzolate and psycholeptics,,,,,2015-03-02,2099-12-31,
1252,A03CA30,emepronium and psycholeptics,,,,,1970-01-01,2099-12-31,
1253,A03CA34,propantheline and psycholeptics,,,,,1970-01-01,2099-12-31,
1254,A03CB,Belladonna and derivatives in combination with psycholeptics,,,,,1970-01-01,2099-12-31,
1255,A03CB01,methylscopolamine and psycholeptics,,,,,1970-01-01,2099-12-31,
1256,A03CB02,belladonna total alkaloids and psycholeptics,,,,,1970-01-01,2099-12-31,
1257,A03CB03,atropine and psycholeptics,,,,,1970-01-01,2099-12-31,
1258,A03CB04,homatropine methylbromide and psycholeptics,,,,,1970-01-01,2099-12-31,
1259,A03CB31,hyoscyamine and psycholeptics,,,,,1970-01-01,2099-12-31,
1260,A03CC,Other antispasmodics in combination with psycholeptics,,,,,1970-01-01,2099-12-31,
1261,A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,,,,,1970-01-01,2099-12-31,
1262,A03DA,Synthetic anticholinergic agents in combination with analgesics,,,,,1970-01-01,2099-12-31,
1263,A03DA01,tropenzilone and analgesics,,,,,1970-01-01,2099-12-31,
1264,A03DA02,pitofenone and analgesics,,,,,1970-01-01,2099-12-31,
1265,A03DA03,bevonium and analgesics,,,,,1970-01-01,2099-12-31,
1266,A03DA04,ciclonium and analgesics,,,,,1970-01-01,2099-12-31,
1267,A03DA05,camylofin and analgesics,,,,,1970-01-01,2099-12-31,
1268,A03DA06,trospium and analgesics,,,,,1970-01-01,2099-12-31,
1269,A03DA07,tiemonium iodide and analgesics,,,,,1970-01-01,2099-12-31,
1270,A03DB,Belladonna and derivatives in combination with analgesics,,,,,1970-01-01,2099-12-31,
1271,A03DB04,butylscopolamine and analgesics,,,,,1970-01-01,2099-12-31,
1272,A03DC,Other antispasmodics in combination with analgesics,,,,,1970-01-01,2099-12-31,
1273,A03E,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,,,,,1970-01-01,2099-12-31,
1274,A03EA,"Antispasmodics, psycholeptics and analgesics in combination",,,,,1970-01-01,2099-12-31,
1275,A03ED,Antispasmodics in combination with other drugs,,,,,1970-01-01,2099-12-31,
1276,A03F,PROPULSIVES,,,,,1970-01-01,2099-12-31,
1277,A03FA,Propulsives,,,,,1970-01-01,2099-12-31,
1278,A03FA01,metoclopramide,30,mg,O,,1970-01-01,2099-12-31,
1279,A03FA01,metoclopramide,30,mg,P,,1970-01-01,2099-12-31,
1280,A03FA01,metoclopramide,30,mg,R,,1970-01-01,2099-12-31,
1281,A03FA02,cisapride,30,mg,O,,1970-01-01,2099-12-31,
1282,A03FA02,cisapride,30,mg,R,,1970-01-01,2099-12-31,
1283,A03FA03,domperidone,30,mg,O,,1970-01-01,2099-12-31,
1284,A03FA03,domperidone,30,mg,P,,1970-01-01,2099-12-31,
1285,A03FA03,domperidone,0.12,g,R,,1970-01-01,2099-12-31,
1286,A03FA04,bromopride,20,mg,O,,1970-01-01,2099-12-31,
1287,A03FA04,bromopride,20,mg,P,,1970-01-01,2099-12-31,
1288,A03FA05,alizapride,0.15,g,O,,1970-01-01,2099-12-31,
1289,A03FA05,alizapride,0.15,g,P,,1970-01-01,2099-12-31,
1290,A03FA06,clebopride,,,,,1970-01-01,2099-12-31,
1291,A03FA07,itopride,,,,,2015-03-02,2099-12-31,
1292,A03FA08,cinitapride,,,,,2017-08-07,2099-12-31,
1293,A03FA09,mosapride,,,,,2020-05-04,2099-12-31,
1294,A04,ANTIEMETICS AND ANTINAUSEANTS,,,,,1970-01-01,2099-12-31,
1295,A04A,ANTIEMETICS AND ANTINAUSEANTS,,,,,1970-01-01,2099-12-31,
1296,A04AA,Serotonin (5ht3) antagonists,,,,,1970-01-01,2099-12-31,
1297,A04AA01,ondansetron,16,mg,O,,1970-01-01,2099-12-31,
1298,A04AA01,ondansetron,16,mg,P,,1970-01-01,2099-12-31,
1299,A04AA01,ondansetron,16,mg,R,,1970-01-01,2099-12-31,
1300,A04AA02,granisetron,2,mg,O,,1970-01-01,2099-12-31,
1301,A04AA02,granisetron,3,mg,P,,1970-01-01,2099-12-31,
1302,A04AA02,granisetron,3.1,mg,TD,,1970-01-01,2099-12-31,
1303,A04AA03,tropisetron,5,mg,O,,1970-01-01,2099-12-31,
1304,A04AA03,tropisetron,5,mg,P,,1970-01-01,2099-12-31,
1305,A04AA04,dolasetron,0.2,g,O,,1970-01-01,2099-12-31,
1306,A04AA04,dolasetron,0.1,g,P,,1970-01-01,2099-12-31,
1307,A04AA05,palonosetron,0.5,mg,O,,1970-01-01,2099-12-31,
1308,A04AA05,palonosetron,0.25,mg,P,,1970-01-01,2099-12-31,
1309,A04AA55,"palonosetron, combinations",,,,,2015-03-02,2099-12-31,
1310,A04AD,Other antiemetics,,,,,1970-01-01,2099-12-31,
1311,A04AD01,scopolamine,,,,,1970-01-01,2099-12-31,
1312,A04AD02,cerium oxalate,,,,,1970-01-01,2099-12-31,
1313,A04AD04,chlorobutanol,,,,,1970-01-01,2099-12-31,
1314,A04AD05,metopimazine,15,mg,O,,1970-01-01,2099-12-31,
1315,A04AD05,metopimazine,15,mg,P,,1970-01-01,2099-12-31,
1316,A04AD10,dronabinol,,,,,1970-01-01,2099-12-31,
1317,A04AD11,nabilone,,,,,1970-01-01,2099-12-31,
1318,A04AD12,aprepitant,165,mg,O,DDD from ATC website|,2019-01-01,2099-12-31,
1319,A04AD12,aprepitant,95,mg,O,,1970-01-01,2099-12-31,
1320,A04AD12,aprepitant,150,mg,P,DDD from ATC website|,2019-01-01,2099-12-31,
1321,A04AD12,aprepitant,95,mg,P,expressed as fosaprepitant,1970-01-01,2099-12-31,
1322,A04AD13,casopitant,,,,,1970-01-01,2099-12-31,
1323,A04AD14,rolapitant,,,,,2017-08-07,2099-12-31,
1324,A04AD51,"scopolamine, combinations",,,,,1970-01-01,2099-12-31,
1325,A04AD54,"chlorobutanol, combinations",,,,,1970-01-01,2099-12-31,
1326,A05,BILE AND LIVER THERAPY,,,,,1970-01-01,2099-12-31,
1327,A05A,BILE THERAPY,,,,,1970-01-01,2099-12-31,
1328,A05AA,Bile acids and derivatives,,,,,1970-01-01,2099-12-31,
1329,A05AA01,chenodeoxycholic acid,,,,,1970-01-01,2099-12-31,
1330,A05AA02,ursodeoxycholic acid,0.75,g,O,,1970-01-01,2099-12-31,
1331,A05AA03,cholic acid,,,,,1970-01-01,2099-12-31,
1332,A05AA04,obeticholic acid,10,mg,O,,2016-05-02,2099-12-31,
1333,A05AB,Preparations for biliary tract therapy,,,,,1970-01-01,2099-12-31,
1334,A05AB01,nicotinyl methylamide,,,,,1970-01-01,2099-12-31,
1335,A05AX,Other drugs for bile therapy,,,,,1970-01-01,2099-12-31,
1336,A05AX01,piprozolin,,,,,1970-01-01,2099-12-31,
1337,A05AX02,hymecromone,,,,,1970-01-01,2099-12-31,
1338,A05AX03,cyclobutyrol,,,,,1970-01-01,2099-12-31,
1339,A05AX04,maralixibat chloride,,,,,2021-02-22,2099-12-31,
1340,A05AX05,odevixibat,,,,,2021-02-22,2099-12-31,
1341,A05B,"LIVER THERAPY, LIPOTROPICS",,,,,1970-01-01,2099-12-31,
1342,A05BA,Liver therapy,,,,,1970-01-01,2099-12-31,
1343,A05BA01,arginine glutamate,,,,,1970-01-01,2099-12-31,
1344,A05BA03,silymarin,,,,,1970-01-01,2099-12-31,
1345,A05BA04,citiolone,,,,,1970-01-01,2099-12-31,
